,address,bike_stands,last_update,lat,lng,name,status
79,46 RUE LUCIE SAMPAIX - 75010 PARIS,46,2017-09-29 23:00:43,48.874112916506824,2.362498528696257,10015 - RECOLLETS,OPEN
80,FACE 1 RUE DE VAUGIRARD - 75006 PARIS,24,2017-09-29 23:01:36,48.84892295818577,2.341040508705961,06029 - VAUGIRARD PRINCE,OPEN
81,GARE DE LYON - 75012 PARIS,60,2017-09-29 23:00:41,48.8455150897939,2.3726498446286,12151 - GARE DE LYON,OPEN
82,58 RUE DE LA GARE DE REUILLY - 75012 PARIS,28,2017-09-29 22:54:39,48.842577100515385,2.397249990597384,12019 - GARE DE REUILLY,OPEN
83,31 RUE MANIN - 75019 PARIS,20,2017-09-29 22:55:20,48.87927519569598,2.378637021920256,19114 - MANIN SECRETAN,OPEN
84,39 RUE DE MIROMESNIL - 75008 PARIS,33,2017-09-29 23:01:25,48.873760472140056,2.315876308346374,08025 - MIROMESNIL,OPEN
85,31 RUE FROIDEVAUX - 75014 PARIS,38,2017-09-29 22:58:38,48.8356804441726,2.3282908220517,14033 - DAGUERRE GASSENDI,OPEN
86,7 RUE MONTROSIER - 92200 NEUILLY,25,2017-09-29 23:00:20,48.87944136963256,2.278535717122779,22011 - MONTROSIER (NEUILLY),OPEN
87,1 PLACE EDOUARD RENARD - 75012 PARIS,25,2017-09-29 22:56:25,48.835545043575955,2.40745551592605,12032 - PORTE DOREE,OPEN
88,4-6 RUE OCTAVE FEUILLET - 75016 PARIS,21,2017-09-29 22:56:17,48.8609983661382,2.27312852713658,16110 - OCTAVE FEUILLET,OPEN
89,4 PLACE DE BARCELONE - 75016 PARIS,55,2017-09-29 23:01:03,48.84766571002937,2.273556264965371,16030 - MIRABEAU,OPEN
90,2 AVENUE ERNEST RENAN - 75015 PARIS,23,2017-09-29 22:55:44,48.83217944426036,2.287122261982559,15049 - PORTE DE VERSAILLES,OPEN
91,61 RUE HENRY FARMAN - 75015 PARIS,11,2017-09-29 22:59:42,48.83373383017729,2.271396472461431,15042 - FARMAN,OPEN
92,5 RUE LALLY TOLLENDAL - 75019 PARIS,60,2017-09-29 22:53:51,48.88270064422199,2.37469338894231,19012 - LALLY TOLLENDAL,OPEN
93,FACE AU 13 RUE DE LA SEINE - 92100 BOULOGNE-BILLANCOURT,26,2017-09-29 22:58:30,48.82824349415854,2.250657739639016,21018 - SEINE (BOULOGNE-BILLANCOURT),OPEN
94,250 RUE LECOURBE - 75015 PARIS,45,2017-09-29 23:02:05,48.83922209776229,2.291540507948998,15053 - LECOURBE,OPEN
95,102 RUE DAMREMONT - 75018 PARIS,28,2017-09-29 22:52:37,48.893400392981874,2.336266523912805,18027 - DAMREMONT ORDENER,OPEN
96,16 RUE DE MEZIERES - 75006 PARIS,55,2017-09-29 23:01:37,48.850297010217595,2.330446820277252,06103 - MEZIERES RENNES,OPEN
97,23 RUE PIERRE BROSSOLETTE - 94200 IVRY,20,2017-09-29 22:56:08,48.816929720561234,2.381460319184223,42006 - BROSSOLETTE (IVRY),OPEN
98,4 RUE FRAGONARD - 75017 PARIS,54,2017-09-29 22:58:37,48.894151383293696,2.314678001115381,17011 - PORTE DE CLICHY FRAGONARD,OPEN
99,2 RUE DANTON - 75006 PARIS,35,2017-09-29 22:54:42,48.85293041059132,2.342657392891206,06020 - SAINT MICHEL DANTON,OPEN
100,FACE 77 BOULEVARD DE CHARONNE - 75011 PARIS,46,2017-09-29 22:53:21,48.854176040414856,2.396093495321842,11017 - ALEXANDRE DUMAS,OPEN
101,16 RUE CASSINI 75014 PARIS,24,2017-09-29 23:00:58,48.8375492921975,2.33598303046652,14111 - DENFERT-ROCHEREAU CASSINI,OPEN
102,81 BIS RUE JP TIMBAUD - 75011 PARIS,48,2017-09-29 23:01:08,48.86793796309799,2.377885515684799,11032 - METALLOS,OPEN
103,2 RUE PETIT - 92110 CLICHY,25,2017-09-29 23:02:26,48.8993483537726,2.29662648341284,21113 - PETIT (CLICHY),OPEN
104,FACE 104 BOULEVARD RICHARD LENOIR - 75011 PARIS,23,2017-09-29 23:02:07,48.86343198963591,2.37120861796012,11044 - RICHARD LENOIR VOLTAIRE NORD,OPEN
105,69 BOULEVARD BEAUMARCHAIS - 75003 PARIS,52,2017-09-29 22:58:46,48.85804405694242,2.367832659296124,03001 - CHEMIN VERT BEAUMARCHAIS,OPEN
106,2 RUE DES RASSELINS - 75020 PARIS,27,2017-09-29 22:56:35,48.85352868594103,2.409615362775532,20133 - RASSELINS,OPEN
107,1 AVENUE BOUTROUX - 75013 PARIS,49,2017-09-29 22:59:43,48.822632842232245,2.377738433657617,13047 - BOUTROUX VITRY,OPEN
108,RUE DORA MAAR / GARE RER - 93400 SAINT OUEN,26,2017-09-29 22:55:49,48.905269629379745,2.322171248688672,34009 - MAAR (SAINT OUEN),OPEN
109,2 BOULEVARD RICHARD LENOIR - 75011 PARIS,54,2017-09-29 22:53:54,48.85384822621097,2.369701488217501,11001 - BASTILLE RICHARD LENOIR,OPEN
110,67 RUE DES ARCHIVES - 75003 PARIS,28,2017-09-29 22:53:05,48.86240121191442,2.359447031946381,03007 - ARCHIVES PASTOURELLE,OPEN
111,26 RUE MONTHOLON - 75009 PARIS,21,2017-09-29 23:02:32,48.87660117136262,2.345785516803243,09009 - SQUARE MONTHOLON,OPEN
112,"BERGES DE SEINE, BAS DE LA BRETELLE AVAL CONCORDE - 75007 PARIS",20,2017-09-29 22:55:51,48.863147,2.316318,00905 - CONCORDE/BERGES DE SEINE (STATION MOBILE),OPEN
113,25-31 BOULEVARD DE VAUGIRARD - 75015 PARIS,30,2017-09-29 23:02:15,48.841325259808,2.31829155159271,15115 - VAUGIRARD,OPEN
114,20 RUE MONGE - 75005 PARIS,37,2017-09-29 22:56:56,48.84838576471672,2.350169939020645,05018 - MUTUALITE,OPEN
115,FACE AU 23 RUE DELIZY - 93500 PANTIN,22,2017-09-29 22:59:12,48.89633193166097,2.409087652725976,35006 - DELIZY (PANTIN),OPEN
116,4 RUE D'ATHENES - 75009 PARIS,20,2017-09-29 23:02:17,48.878113787876,2.32956021945824,09036 - ATHENES CLICHY,OPEN
117,27 BOULEVARD BEAUMARCHAIS - 75004 PARIS,18,2017-09-29 22:54:22,48.855501357701705,2.368429069929045,04107 - BEAUMARCHAIS,OPEN
118,1 RUE DES BATIGNOLLES - 75017 PARIS,17,2017-09-29 23:02:11,48.88310390458221,2.323834749088381,17050 - BATIGNOLLES,OPEN
119,13 RUE ERASME - 75005 PARIS,20,2017-09-29 23:00:03,48.8425479496716,2.344596649931604,05013 - ULM ERASME,OPEN
120,FACE 241 AVENUE GAMBETTA - 75020 PARIS,20,2017-09-29 22:56:18,48.87541242186098,2.4059603311549,20110 - PORTE DES LILAS,OPEN
121,51 BOULEVARD PORT ROYAL - 75013 PARIS,18,2017-09-29 23:00:33,48.83772792097816,2.344664043426302,13001 - PORT ROYAL,OPEN
122,89 BOULEVARD DE L'HOPITAL - 75013 PARIS,50,2017-09-29 23:01:41,48.83772768745433,2.360460336476805,13103 - SAINT MARCEL,OPEN
123,4 RUE DE THANN - 75017 PARIS,17,2017-09-29 22:54:43,48.881161983577115,2.30951238050775,17018 - MONCEAU,OPEN
124,FACE AU 1 RUE JEANNE HORNET - 93170 BAGNOLET,28,2017-09-29 22:56:09,48.873929200033544,2.427933579778934,31704 - HORNET (BAGNOLET),OPEN
125,1 RUE DES ARCHIVES - 75004 PARIS,25,2017-09-29 22:56:36,48.857203787697095,2.353976273618783,04103 - HOTEL DE VILLE,OPEN
126,4 AVENUE PIERRE GRENIER - 92100 BOULOGNE-BILLANCOURT,21,2017-09-29 22:56:23,48.82584693469992,2.248821391087721,21013 - GRENIER (BOULOGNE-BILLANCOURT),OPEN
