address,bike_stands,last_update,lat,lng,name,status
30 MONTEE DES CARMELITES,16,2017-09-29 23:39:44,45.770006,4.829274,1034 - CARMÉLITES,OPEN
Rue Roger Salengro - Angle rue Vaillant,24,2017-09-29 23:40:18,45.778385,4.879673,10008 - SALENGRO / VAILLANT,OPEN
118 RUE MONCEY,18,2017-09-29 23:34:29,45.761595,4.850477,3083 - LES HALLES,OPEN
Angle bvd Anatole France,10,2017-09-29 23:31:48,45.770743,4.856713,6024 - TRONCHET / ANATOLE FRANCE,OPEN
360 BVD DE BALMONT,12,2017-09-29 23:39:26,45.789194,4.799308,9052 - BALMONT,OPEN
Rue de France/Angle Cours Emile Zola,16,2017-09-29 23:37:55,45.767957,4.887232,10012 - ZOLA / FRANCE,OPEN
Prox. Grande rue de la Croix-Rousse,21,2017-09-29 23:36:12,45.77608,4.832543,4022 - PLACE DE LA CROIX-ROUSSE,OPEN
Avenue du Cdt Lherminier/Angle rue F. de Pressensé,10,2017-09-29 23:40:29,45.771143,4.88504,10047 - LHERMINIER/PRESSENSÉ,OPEN
Angle rue Moncey / Part-Dieu,20,2017-09-29 23:35:09,45.759648,4.848139,3004 - BOURSE DU TRAVAIL (FAR),OPEN
Angle rue de la Part-Dieu,18,2017-09-29 23:38:18,45.759361,4.842308,3016 - LIBERTÉ / PART-DIEU (FAR),OPEN
Angle Henry IV,10,2017-09-29 23:30:55,45.753049,4.828297,2003 - PLACE AMPÈRE,OPEN
Angle rue Villon,20,2017-09-29 23:36:08,45.746691,4.867501,8038 - ALBERT THOMAS / VILLON,OPEN
Rue Jacques Brel/angle rue Korel,23,2017-09-29 23:40:21,45.774228,4.864269,10072 - JACQUES BREL,OPEN
74 RUE DE LA VILLETTE,30,2017-09-29 23:39:49,45.757808,4.861512,3094 - VILLETTE,OPEN
Quai Chauveau / angle Pont Koenig,19,2017-09-29 23:31:45,45.769803,4.812681,9011 - CONSERVATOIRE,OPEN
Boulevard Jean XXIII - Angle de la rue Mermoz,20,2017-09-29 23:39:51,45.73648,4.869789,8009 - JEAN XXIII / MERMOZ,OPEN
Côté rue des Marroniers,18,2017-09-29 23:39:48,45.756775,4.833917,2008 - PLACE ANTONIN PONCET (FAR),OPEN
Place Vanderpol/Angle St Pierre de Vaise,15,2017-09-29 23:40:10,45.773125,4.807831,9029 - SAINT PIERRE DE VAISE,OPEN
